empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Latam Airlines (Tam),RJ,Rio de Janeiro,Transporte Aéreo,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-11,Resolvida,5.0,2026,1
Cooperforte,RJ,Rio de Janeiro,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Dificuldade para alterar ou cancelar o contrato /serviço,2026-03-05,Não Avaliada,,2026,3
Facebook / Instagram,BA,Xique-Xique,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Dificuldade de contato / demora no atendimento,2026-02-25,Não Avaliada,,2026,2
Serasa Experian,ES,Muniz Freire,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Negativação indevida sem contratação do serviço ? fraude bancária,2026-04-03,Não Resolvida,1.0,2026,4
Serasa Experian,PA,Santa Izabel do Pará,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)",2026-01-06,Não Resolvida,1.0,2026,1
Amazon.com.br,RJ,Rio de Janeiro,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,Refrigerador / freezer,"Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)",2026-01-13,,,2026,1
Banco Bmg,ES,Itaipava,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-01-03,Resolvida,4.0,2026,1
Nubank,GO,Formosa,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-13,Não Avaliada,,2026,1
Serasa Experian,MG,Patos de Minas,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Dificuldade em obter esclarecimentos sobre os critérios de cálculo do score / análise de risco,2026-01-04,Não Avaliada,,2026,1
C6 Bank,SC,Lages,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-14,Não Avaliada,,2026,1
LG Electronics - Loja Online,SP,Guarulhos,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Ar condicionado, ventilador e aquecedor",Não entrega / demora na entrega do produto,2026-01-08,Não Avaliada,,2026,1
Caixa Econômica Federal,PA,Breu Branco,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-12,,,2026,1
Banco C6 Consignado (Banco Ficsa),PA,Marituba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,2026-01-13,Não Avaliada,,2026,1
Banco Pan,SP,Osasco,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-03-05,,,2026,3
Boa Vista Serviços - SCPC (Serviço Central de Proteção ao Crédito),SP,São José dos Campos,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,,,2026,1
Serasa Experian,AM,Manaus,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-08,Não Avaliada,,2026,1
Caixa Econômica Federal,DF,Brasília,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamento de Imóveis,Portabilidade não efetivada,2026-01-02,,,2026,1
PicPay,RS,Picada Café,Empresas de Pagamento Eletrônico,Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Negativação indevida sem contratação do serviço ? fraude bancária,2026-01-13,Não Resolvida,1.0,2026,1
NIO,SC,Florianópolis,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-09,Não Resolvida,1.0,2026,1
Claro Celular,SC,Chapecó,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-29,Resolvida,4.0,2026,1
Serasa Experian,GO,Goiânia,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Resolvida,5.0,2026,1
Cartões Itaú,MG,Santana do Paraíso,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Não entrega do contrato ou documentação relacionada ao serviço,2026-01-05,Resolvida,5.0,2026,1
Unidas Seminovos,SP,Sorocaba,Aluguel de Carros,Demais Serviços,Serviços automotivos,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-09,Não Avaliada,,2026,1
Banco Pan,PR,Campo Mourão,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-02-13,Não Avaliada,,2026,2
Amazon.com.br,MT,Cuiabá,Comércio Eletrônico,Demais Produtos,"Perfumaria, cosméticos e higiene pessoal",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-14,,,2026,1
Ágil,MG,Paraguaçu,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor",2026-01-01,Não Resolvida,1.0,2026,1
Will Bank,SP,Fernandópolis,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,2026-03-25,Não Avaliada,,2026,3
Pernambucanas,SC,Joinville,Varejo,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-25,Não Resolvida,1.0,2026,3
Caixa Econômica Federal,SP,Arujá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-06,Não Avaliada,,2026,1
Banco do Brasil,MA,São Luís,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-03,Não Resolvida,2.0,2026,1
Enjoei,SP,São Paulo,Comércio Eletrônico,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-08,Não Avaliada,,2026,1
Booking.com,PA,Belém,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Hospedagem,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-08,Não Avaliada,,2026,1
Serasa Experian,PR,Colombo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-12,Não Avaliada,,2026,1
NIO,MG,Belo Horizonte,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-24,Não Avaliada,,2026,1
Nubank,SC,Blumenau,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação,2026-02-07,Não Resolvida,3.0,2026,2
Banco do Brasil,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-01-08,Resolvida,3.0,2026,1
Recovery do Brasil Consultoria,MG,Belo Horizonte,Empresas de Recuperação de Crédito,Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-04-06,Não Resolvida,1.0,2026,4
Serasa Experian,MG,Belo Horizonte,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)",2026-01-03,Não Avaliada,,2026,1
Banco Bradesco,MG,Ribeirão das Neves,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Clonagem, fraude, furto e roubo",2026-04-02,Não Avaliada,,2026,4
Casasbahia.com,PE,Recife,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,Refrigerador / freezer,Dificuldade de contato / demora no atendimento,2026-01-09,Não Avaliada,,2026,1
C6 Bank,GO,Goiânia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-09,Resolvida,5.0,2026,1
Smartfit,RJ,Nilópolis,Serviços Esportivos,Demais Serviços,"Cultura / Esporte / Lazer / Eventos (shows, jogos, cinema, teatro, festas, clubes, academias de ginástica)",Má qualidade no atendimento (descortesia / despreparo/ constrangimento),2026-02-07,Não Avaliada,,2026,2
Claro Residencial,SP,Mogi das Cruzes,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-13,Não Avaliada,,2026,1
Recovery do Brasil Consultoria,BA,Salvador,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-09,Não Avaliada,,2026,1
Crediativos,PR,Jataizinho,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Não entrega do contrato ou documentação relacionada ao serviço,2026-02-13,Não Avaliada,,2026,2
Serasa Experian,SP,Nova Odessa,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-07,Resolvida,5.0,2026,1
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-04-05,Não Avaliada,,2026,4
Tokio Marine,SP,São Paulo,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguro Funeral,SAC - Dificuldade para cancelar o serviço,2026-01-04,Não Avaliada,,2026,1
Serasa Experian,MG,Carmo do Paranaíba,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Negativação indevida (não cumprimento de acordo de parcelamento),2026-01-06,Não Avaliada,,2026,1
Bradesco Vida e Previdência,PR,São João do Ivaí,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguro Prestamista,SAC - Dificuldade para cancelar o serviço,2026-03-09,Não Avaliada,,2026,3
Claro Residencial,DF,Brasília,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),SAC - Dificuldade de contato / acesso,2026-01-06,Resolvida,5.0,2026,1
Caixa Econômica Federal,SP,Ferraz de Vasconcelos,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-03,Não Avaliada,,2026,1
Serasa Experian,CE,Fortaleza,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-05,Não Avaliada,,2026,1
Serasa Experian,RS,Viamão,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Negativação indevida referente à pagamento já efetuado,2026-03-23,Não Avaliada,,2026,3
Serasa Experian,DF,Brasília,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-13,Não Avaliada,,2026,1
Samsung,SP,Santo André,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos Eletrodomésticos e Eletrônicos,"Lavadora de roupa, louça e secadora",Dificuldade de contato / demora no atendimento,2026-01-08,Não Avaliada,,2026,1
Banco do Brasil,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-01-09,Não Avaliada,,2026,1
Mercado Pago,SP,São Paulo,Empresas de Pagamento Eletrônico,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-02-12,Resolvida,5.0,2026,2
Gol Linhas Aéreas,MG,Belo Horizonte,Transporte Aéreo,Transportes,Aéreo,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-29,Não Avaliada,,2026,1
Banco C6 Consignado (Banco Ficsa),SP,Capivari,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-11,Não Avaliada,,2026,1
Banco do Brasil,DF,Brasília,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-05,,,2026,1
Banco Daycoval,RJ,Rio de Janeiro,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),"Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor",2026-01-06,,,2026,1
Serasa Experian,MG,Passos,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-08,Não Avaliada,,2026,1
